period,state,stateName,technology,sector,sectorName,capacity,customers,capacity-units,customers-units
2017,MS,Mississippi,Other Technologies,COM,commercial,.065,1,megawatts,number of customers
2017,MS,Mississippi,Other Technologies,IND,industrial,,,megawatts,number of customers
2017,MS,Mississippi,Other Technologies,RES,residential,,,megawatts,number of customers
2017,MS,Mississippi,Other Technologies,TOT,all sectors,.065,1,megawatts,number of customers
2017,MS,Mississippi,Other Technologies,TRN,transportation,,,megawatts,number of customers
2017,MS,Mississippi,Photovoltaic,COM,commercial,1.425,35,megawatts,number of customers
2017,MS,Mississippi,Photovoltaic,IND,industrial,.19,3,megawatts,number of customers
2017,MS,Mississippi,Photovoltaic,RES,residential,1.513,255,megawatts,number of customers
2017,MS,Mississippi,Photovoltaic,TOT,all sectors,3.127,293,megawatts,number of customers
2017,MS,Mississippi,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
2017,MS,Mississippi,Wind,COM,commercial,,,megawatts,number of customers
2017,MS,Mississippi,Wind,IND,industrial,,,megawatts,number of customers
2017,MS,Mississippi,Wind,RES,residential,.005,1,megawatts,number of customers
2017,MS,Mississippi,Wind,TOT,all sectors,.005,1,megawatts,number of customers
2017,MS,Mississippi,Wind,TRN,transportation,,,megawatts,number of customers
2017,MT,Montana,All Technologies,COM,commercial,3.652,442,megawatts,number of customers
2017,MT,Montana,All Technologies,IND,industrial,0,0,megawatts,number of customers
2017,MT,Montana,All Technologies,RES,residential,8.647,2462,megawatts,number of customers
2017,MT,Montana,All Technologies,TOT,all sectors,12.299,2904,megawatts,number of customers
2017,MT,Montana,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,MT,Montana,Other Technologies,COM,commercial,.07,2,megawatts,number of customers
2017,MT,Montana,Other Technologies,IND,industrial,,,megawatts,number of customers
2017,MT,Montana,Other Technologies,RES,residential,.034,5,megawatts,number of customers
2017,MT,Montana,Other Technologies,TOT,all sectors,.104,7,megawatts,number of customers
2017,MT,Montana,Other Technologies,TRN,transportation,,,megawatts,number of customers
2017,MT,Montana,Photovoltaic,COM,commercial,3.052,396,megawatts,number of customers
2017,MT,Montana,Photovoltaic,IND,industrial,0,0,megawatts,number of customers
2017,MT,Montana,Photovoltaic,RES,residential,7.855,1917,megawatts,number of customers
2017,MT,Montana,Photovoltaic,TOT,all sectors,10.907,2313,megawatts,number of customers
2017,MT,Montana,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
2017,MT,Montana,Wind,COM,commercial,.494,37,megawatts,number of customers
2017,MT,Montana,Wind,IND,industrial,0,0,megawatts,number of customers
2017,MT,Montana,Wind,RES,residential,.542,104,megawatts,number of customers
2017,MT,Montana,Wind,TOT,all sectors,1.036,141,megawatts,number of customers
2017,MT,Montana,Wind,TRN,transportation,0,0,megawatts,number of customers
2017,NC,North Carolina,All Technologies,COM,commercial,30.269,478,megawatts,number of customers
2017,NC,North Carolina,All Technologies,IND,industrial,3.659,20,megawatts,number of customers
2017,NC,North Carolina,All Technologies,RES,residential,35.269,7044,megawatts,number of customers
2017,NC,North Carolina,All Technologies,TOT,all sectors,69.196,7542,megawatts,number of customers
2017,NC,North Carolina,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2017,NC,North Carolina,Other Technologies,COM,commercial,6.545,14,megawatts,number of customers
2017,NC,North Carolina,Other Technologies,IND,industrial,,,megawatts,number of customers
2017,NC,North Carolina,Other Technologies,RES,residential,.009,5,megawatts,number of customers
2017,NC,North Carolina,Other Technologies,TOT,all sectors,6.554,19,megawatts,number of customers
2017,NC,North Carolina,Other Technologies,TRN,transportation,,,megawatts,number of customers
2017,NC,North Carolina,Photovoltaic,COM,commercial,23.569,450,megawatts,number of customers
2017,NC,North Carolina,Photovoltaic,IND,industrial,3.659,20,megawatts,number of customers
2017,NC,North Carolina,Photovoltaic,RES,residential,33.529,6712,megawatts,number of customers
2017,NC,North Carolina,Photovoltaic,TOT,all sectors,60.756,7182,megawatts,number of customers
2017,NC,North Carolina,Photovoltaic,TRN,transportation,0,0,megawatts,number of customers
2017,NC,North Carolina,Wind,COM,commercial,.155,14,megawatts,number of customers
2017,NC,North Carolina,Wind,IND,industrial,,,megawatts,number of customers
2017,NC,North Carolina,Wind,RES,residential,.031,9,megawatts,number of customers
2017,NC,North Carolina,Wind,TOT,all sectors,.186,23,megawatts,number of customers
2017,NC,North Carolina,Wind,TRN,transportation,,,megawatts,number of customers
